Nombre y apellido,distancia,genero,tiempo,dorsal
Corredor1,10k,M,00:34:12,101
Corredor2,10k,F,00:38:45,102
Corredor3,10k,M,00:36:58,103
Corredor4,10k,F,00:42:11,104
Corredor5,10k,M,00:33:50,105
Corredor6,10k,F,00:39:27,106
Corredor7,10k,M,00:37:05,107
Corredor8,10k,F,00:41:33,108
Corredor9,10k,M,00:35:44,109
Corredor10,10k,F,00:43:02,110
Corredor11,5k,M,00:17:45,201
Corredor12,5k,F,00:20:12,202
Corredor13,5k,M,00:18:30,203
Corredor14,5k,F,00:21:05,204
Corredor15,5k,M,00:16:58,205
Corredor16,5k,F,00:19:47,206
Corredor17,5k,M,00:18:12,207
Corredor18,5k,F,00:22:03,208
Corredor19,5k,M,00:17:21,209
Corredor20,5k,F,00:20:55,210
